#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:21:46      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:46      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:46      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:46      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:47      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:47      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:47      0       2154     G     2     1     0     0   Xorg           
 20200522   16:21:47      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:47      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:47      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:47      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:47      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:47      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:47      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:47      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:47      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:48      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:48      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:48      0       2154     G     3     1     0     0   Xorg           
 20200522   16:21:48      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:48      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:48      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:48      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:48      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:48      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:48      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:48      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:48      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:49      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:49      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:49      0       2154     G     1     0     0     0   Xorg           
 20200522   16:21:49      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:49      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:49      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:49      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:49      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:49      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:49      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:49      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:49      0       9005     G     0     0     0     0   firefox        
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   16:21:50      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:50      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:50      0       2154     G     1     0     0     0   Xorg           
 20200522   16:21:50      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:50      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:50      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:50      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:50      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:50      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:50      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:50      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:50      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:51      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:51      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:51      0       2154     G     1     0     0     0   Xorg           
 20200522   16:21:51      0       2380     G     0     0     0     0   gnome-shell    
 20200522   16:21:51      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:51      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:51      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:51      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:51      0       4227     G     0     0     0     0   firefox        
 20200522   16:21:51      0       7358     G     0     0     0     0   firefox        
 20200522   16:21:51      0       8094     G     0     0     0     0   firefox        
 20200522   16:21:51      0       9005     G     0     0     0     0   firefox        
 20200522   16:21:52      0       1494     G     0     0     0     0   Xorg           
 20200522   16:21:52      0       1646     G     0     0     0     0   gnome-shell    
 20200522   16:21:52      0       2154     G     3     1     0     0   Xorg           
 20200522   16:21:52      0       2380     G     3     0     0     0   gnome-shell    
 20200522   16:21:52      0       2919     G     0     0     0     0   electron-ssr --
 20200522   16:21:52      0       2961     G     0     0     0     0   code --type=gpu
 20200522   16:21:52      0       3233     G     0     0     0     0   firefox        
 20200522   16:21:52      0       3287     G     0     0     0     0   firefox        
 20200522   16:21:52      0       4227     G     0     0     0     0   firefox        
